date,close,open,high,low,volume/K,daliy_region,daily_opengian,daily_gain,ln_Rt,MACD,MACD_l,MAMA,MAMA_l,SAR,ADX,TRIX,AROONOSC,CCI,DX,MINUS_DI,MINUS_DM,PLUS_DI,PLUS_DM,BBANDS,BBANDS_l,MIDPOINT,MIDPRICE,HT_DCPERIOD,HT_DCPHASE,HT_PHASOR,K,D,J,ROC,OBV,CMO,RSI,alpha_12,alpha_101,alpha_54,alpha_23
2005/5/24,868.46,861.2,871.77,855.59,9.21,0.018734338,-0.021913273,0.008394763,0.00591294,-25.13674711307783,-25.110734412133525,889.5320004309411,876.044430493071,1059.48,38.97167956785056,-0.18428594158986789,-92.85714285714286,-102.02211276589031,57.39699027667336,34.41068792296977,89.07152574023975,9.314020996155636,24.109197199467417,893.8369305195886,884.4696618878954,902.705,900.5450000000001,24.73670567089499,10.727545143492534,-21.839024960973997,9.061349431096964,10.603143515221182,5.977761262848528,-10.843051905387647,-47.59999999999999,-35.061801384766426,33.326159614980746,-1.0,0.4486743711760715,-0.7627303608186324,0.0
2005/5/25,868.45,867.66,876.3,861.66,7.24,0.016847737,0.007473167,0.000910081,-1.15147e-05,-24.90242505247693,-24.753789019714418,888.477900409394,875.3252089684174,1059.48,39.823202833748965,-0.19041357427267425,-92.85714285714286,-86.7162511636038,50.89300529042825,32.43510385009197,82.7092739016512,10.555760819430866,26.917111685219716,890.2575509391522,882.5556538053443,897.865,899.02,24.584690949370756,12.657617181719559,-6.770962999136083,8.627238753395197,9.149518501566924,7.582679257051744,-9.89032653018873,-54.83999999999999,-35.06577935602533,33.3243548634489,-1.0,0.053958062973845915,-0.46169214160059974,0.0
2005/5/26,857.33,867.76,872.84,854.96,6.62,0.020697579,0.000115246,-0.01209227,-0.012887105,-25.322116599841138,-24.726509421440596,872.903950204697,874.3069485199966,1059.48,40.830512099770274,-0.19666565503021483,-100.0,-117.29191279132236,53.925532558047266,32.78874622132061,83.50146862296177,9.81464215280187,24.994460850561165,884.8921036610918,880.2135172346308,885.205,896.175,24.780909470063342,12.382008730212874,-2.364625829016574,9.090033092170255,8.92620709222082,9.417685092069128,-11.239375084119308,-61.45999999999999,-39.434132282652286,31.337880557824967,-1.0,-0.5833007102511019,-0.14081173913105693,-0.0
2005/5/27,849.51,855.6,864.96,848.4,7.75,0.01933104,-0.014112202,-0.007143265,-0.009163196,-25.986181298205224,-24.94665777696457,861.2069751023485,861.3534742599983,1059.48,41.967062945953856,-0.20311847810701167,-100.0,-144.32381773281165,56.74222394634042,33.23539791733185,84.09707800703599,9.172317222284585,23.209142218378226,875.8746961647157,866.6132056873194,881.2950000000001,882.81,25.50562966744485,12.729120383326801,-0.6325851358784687,5.5193517943719845,7.745541213312493,1.0669729564909662,-10.659711632504976,-69.20999999999998,-42.323282807278275,30.01349004456469,1.0,-0.36773141718495317,-0.06946628090642139,0.0
2005/5/30,855.61,847.63,858.46,842.1,6.97,0.019241314,-0.009358757,0.009370445,0.007154952,-25.723711403211837,-25.33741038853509,860.9271263472309,851.7267371299992,1059.48,43.20617451321778,-0.2094500933061627,-92.85714285714286,-132.80422669621947,59.314624887648826,33.578660008905935,84.39014386367623,8.575235193855434,21.551346345636922,874.8208000856138,865.9424919311252,875.6800000000001,879.6600000000001,26.560703392880882,12.937161082797104,-12.70561888698879,5.586224449301128,6.73186977861447,3.2949337906744454,-9.361427148880274,-62.23999999999998,-36.92839510378983,32.36066386921062,1.0,0.4877452478454869,-0.7879966784351374,0.0
2005/5/31,855.95,856.56,863.2,853.29,7.05,0.011546948,0.010480148,-0.000712405,0.000397298,-25.19780238117187,-24.46216060684776,860.6782700298694,851.8049002734991,1059.48,43.833675001042984,-0.21555295765003368,-92.85714285714286,-89.30922374429302,51.99118134277059,32.21083072503714,78.36227644484221,10.174300360160833,24.751964463805724,869.6878439671542,865.1870426934269,868.525,871.0799999999999,27.445723562426902,13.417140984156399,-20.146527565587242,9.20116651759836,6.768914253757171,14.065671045280736,-8.854222127568946,-55.18999999999998,-36.62276074214129,32.49349565547047,-1.0,-0.06154777519926294,-0.26937354961401677,0.0
2005/6/1,837.53,855.21,857.66,836.04,7.9,0.025531292,-0.001577315,-0.020889969,-0.021754879,-25.968012664403545,-24.873720913425018,859.5208565283758,851.0166552598241,1059.48,44.93984321961945,-0.2218565010701279,-100.0,-149.42754473974642,59.32003006111343,36.366425232136265,90.01497098449633,9.285618918478697,22.983967002105317,865.8641884440759,861.0720633410951,862.535,867.27,27.91242374744122,13.067209366584096,-14.863591193312633,9.27385866942141,8.020416545440312,11.780742917383606,-9.9497887255798,-63.08999999999998,-43.816456708615256,29.22096086258029,1.0,-0.8177235095509023,-0.07650548449675983,0.0
2005/6/2,818.38,835.47,835.49,812.99,9.51,0.02729957,-0.023352612,-0.020667664,-0.023130308,-27.803157328879593,-26.751453678823964,838.9504282641878,832.0033276299121,1059.48,46.490346262181994,-0.2287332415693344,-100.0,-209.69019417227346,66.64688581549497,41.919364335690986,106.63533019988941,8.389843820892866,21.34225507338351,871.7420885485109,866.6567794281075,851.275,852.005,27.955158891062993,12.13943946430203,-18.464574513945,6.306420051457368,8.26048174615906,2.3982966620539834,-12.66700815298587,-72.59999999999998,-50.05666437363351,26.320075810002265,1.0,-0.7595217990311556,-0.26563513025372576,0.0
2005/6/3,818.03,816.55,823.86,807.97,7.94,0.019475683,-0.022906293,0.001810863,-0.000427766,-28.95202386282665,-28.318207797825153,837.9044068509784,819.986663814956,1059.48,48.02665833375993,-0.2359643608463302,-71.42857142857143,-179.30578792435247,67.99871526427302,41.26844219384121,104.03852089989729,7.861031360671679,19.817808282427542,870.7122691885003,865.1055529599981,851.0999999999999,849.495,27.55458551858111,10.692854705188665,-22.93081705119869,4.432605908090337,6.670961542989719,-0.0441053617084286,-11.717030002158435,-80.53999999999998,-50.16378123793811,26.26990280022006,-1.0,0.09313447863570698,-0.6273961422722716,0.0
2005/6/6,839.0,816.73,839.15,807.78,9.01,0.038099731,0.000220415,0.026902144,0.025311696,-27.849374863920957,-29.23816378510162,837.9591865084294,819.3763306242082,1059.48,48.0451035645475,-0.24277261633629532,-78.57142857142857,-107.56275742294214,48.28489156478585,36.39174303078326,96.60719797847605,12.691805059324981,33.6922505479684,862.3162869843457,859.8729588377328,851.0999999999999,849.4,26.949464328586014,10.105909723533614,-18.923248830662498,13.487878887369442,8.075634948972397,24.312366764163535,-10.940800577451782,-71.52999999999997,-32.17930698397646,34.182697178548274,-1.0,0.7098913008829804,-0.8699636715620311,-0.0
2005/6/7,837.28,841.58,858.09,835.18,13.07,0.027061719,0.029972515,-0.005122535,-0.002052164,-26.805312259491416,-27.43997358954789,837.6195932542147,827.2781653121041,1059.48,46.628622239819165,-0.2491486943143384,-78.57142857142857,-40.74693399217078,28.21436501835083,33.29710655753679,89.70668383715633,18.64263756204155,50.22566122311357,849.4139751161663,845.7742121625869,851.0999999999999,849.4,26.551316719343674,10.698494521062003,-13.148382160350705,21.085199283171587,13.001894692877135,37.25180846376048,-10.20066710282178,-84.59999999999997,-32.877466228629984,33.86886882593909,1.0,-0.18768277246737605,-0.09404108877013932,-0.0
2005/6/8,905.77,848.54,908.83,844.47,32.91,0.073448846,0.008236148,0.065268185,0.078626868,-20.21825110491568,-24.97734624443251,871.6947966271073,835.874082656052,1059.48,43.854604865078045,-0.25313044059009915,14.285714285714286,130.68564821268967,7.792378993443391,25.891863420268603,83.29906356307374,30.268057283959326,97.37811399289117,908.2894753686372,852.1190811896806,861.9,858.3050000000001,26.817152483272796,15.326717057724313,-21.07152020941789,50.818084093625096,28.46372075472205,95.5268107714312,-0.3739674648305602,-51.68999999999997,7.339493915639405,52.24578620677285,-1.0,0.8892030888270848,-0.6872525753016446,-69.68000000000006
2005/6/9,912.6,907.57,925.37,895.04,33.14,0.033325248,0.067253473,0.00552697,0.007512258,-14.282197481189314,-18.729221159291683,873.7400567957519,838.8323785232493,1059.48,41.869777836394626,-0.25483861328409185,21.42857142857143,199.88632400242824,16.067026463510164,23.505434190212608,77.34913045142562,32.50457760805551,106.96253442197033,940.2440470479131,902.077908454343,865.315,866.575,27.898039473236558,21.765416500886857,-35.522424938887575,71.0224795034203,47.64192096007233,117.78359659011623,-0.05256932579840168,-18.54999999999997,10.209004367403644,53.59929542767983,-1.0,0.16583693251129095,-0.5631841680682891,-67.27999999999997
2005/6/10,894.56,911.94,911.94,889.1,22.39,0.025364483,0.0048035,-0.019242221,-0.019965691,-10.907771451418625,-14.094374199032586,874.7810539559642,841.3457595970868,1059.48,39.74863651793537,-0.2550929203343322,21.42857142857143,131.38143337191647,12.173799377964954,23.63192104656218,77.76419256203802,30.18327505480049,99.3223533918296,943.6997866618717,920.6290077734723,865.315,866.575,28.253002046064623,30.344181287749326,-36.94481071746313,86.63694052261889,69.49250137322143,120.9258188214138,-0.8083384154793039,-40.93999999999997,1.4249063781148543,49.68405214990611,-1.0,-0.7609123943785335,-0.263196733784703,-3.1100000000000136
2005/6/13,892.96,895.0,900.18,877.69,15.63,0.025301287,-0.01875048,-0.002281931,-0.00179019,-8.267320613832794,-11.2126636267609,875.690001258166,843.1629716172324,1059.48,37.25911366666776,-0.25412588519571067,21.42857142857143,90.0195150543993,4.895316600188841,25.489926862002992,83.61960737903527,28.114009244583333,92.22789957812748,941.9937355315915,916.4677171792335,865.315,866.575,27.859780140325682,40.09024690692841,-7.873360490361111,78.45905264053066,78.70615755552329,77.96484281054538,0.8060328283398421,-56.56999999999997,0.6713891480328247,49.347521317902356,-1.0,-0.0907029478458038,-0.6867595894591878,25.190000000000055
2005/6/14,883.54,895.39,905.41,882.86,14.34,0.025221242,0.000435659,-0.013322812,-0.010605222,-6.85582983664915,-8.414711883507948,879.6150006290829,863.0114858086163,1059.48,35.15824363586797,-0.2523634747104153,21.42857142857143,80.11214769513899,7.846933235470696,23.733035213165465,77.64677828053276,27.774822412036354,90.8701924654041,918.2780517849662,913.1749719179894,865.315,866.575,28.48934834042683,46.60661951075145,19.350729931963762,70.22139070782661,78.43912795699207,53.785916209495696,-0.4506839128377349,-70.90999999999997,-3.7846347237528515,47.359494567137766,-1.0,-0.5254755886656931,-0.03223238827007046,6.530000000000086
2005/6/15,866.83,881.21,881.25,865.14,11.45,0.018450011,-0.015963415,-0.016453084,-0.019093686,-7.004823332170304,-7.540251550378116,878.9757505976288,863.1179115181853,1059.48,32.87004671949506,-0.2503735058577705,21.42857142857143,24.276819832920864,3.123486806647252,27.87741388427006,89.8205798319233,26.188666981554785,84.37946443216096,920.0158566077168,902.440786836392,865.315,866.575,29.893488599135463,51.37870831858091,72.36739870260722,62.36074496130624,70.34706276988784,46.38810934414303,-0.9642738812023599,-82.35999999999997,-11.16965868889892,44.046148767256646,-1.0,-0.8925578797095142,-0.11389865140757605,18.92999999999995
